id,Geom,Centroid,Demand
1,0106000020730800000100000001030000000100000015000000000000000000000000000000000000000000000000000000000000000000F03F000000000000000000000000000000400000000000000000000000000000084000000000000000000000000000001040000000000000F03F0000000000001040000000000000F03F000000000000144000000000000000400000000000001440000000000000084000000000000014400000000000000840000000000000104000000000000010400000000000001040000000000000104000000000000008400000000000001440000000000000084000000000000014400000000000000040000000000000104000000000000000400000000000001040000000000000F03F000000000000104000000000000000000000000000000840000000000000000000000000000000400000000000000000000000000000F03F000000000000000000000000000000000000000000000000,010100002073080000AFA1BC86F21AFA3F1BCA6B28AFA1FC3F,934
2,01060000207308000001000000010300000001000000210000000000000000001040000000000000F03F000000000000104000000000000000400000000000001440000000000000004000000000000014400000000000000840000000000000104000000000000008400000000000001040000000000000104000000000000010400000000000001440000000000000104000000000000018400000000000001440000000000000184000000000000014400000000000001C4000000000000018400000000000001C400000000000001C400000000000001C4000000000000020400000000000001C4000000000000022400000000000001C4000000000000024400000000000001C4000000000000024400000000000001840000000000000264000000000000018400000000000002640000000000000144000000000000028400000000000001440000000000000284000000000000010400000000000002840000000000000084000000000000028400000000000000040000000000000264000000000000000400000000000002640000000000000F03F0000000000002440000000000000F03F0000000000002440000000000000000000000000000022400000000000000000000000000000204000000000000000000000000000001C4000000000000000000000000000001840000000000000000000000000000014400000000000000000000000000000104000000000000000000000000000001040000000000000F03F,0101000020730800000000000000001D40ABAAAAAAAAAA0740,2411
3,010600002073080000010000000103000000010000001500000000000000000026400000000000001440000000000000264000000000000018400000000000002440000000000000184000000000000024400000000000001C4000000000000024400000000000002040000000000000244000000000000022400000000000002440000000000000244000000000000026400000000000002440000000000000284000000000000024400000000000002A4000000000000024400000000000002C4000000000000024400000000000002C4000000000000022400000000000002E4000000000000022400000000000002E4000000000000020400000000000002E400000000000001C400000000000002E4000000000000018400000000000002C4000000000000018400000000000002C4000000000000014400000000000002A4000000000000014400000000000002840000000000000144000000000000026400000000000001440,010100002073080000D145175D74D127405D74D145175D1C40,1102
4,010600002073080000010000000103000000010000001500000000000000000024400000000000002440000000000000244000000000000022400000000000002440000000000000204000000000000024400000000000001C4000000000000022400000000000001C4000000000000020400000000000001C400000000000001C400000000000001C4000000000000018400000000000001C40000000000000184000000000000020400000000000001440000000000000204000000000000014400000000000002240000000000000144000000000000024400000000000001440000000000000264000000000000018400000000000002640000000000000184000000000000028400000000000001C4000000000000028400000000000002040000000000000284000000000000022400000000000002840000000000000224000000000000026400000000000002440000000000000264000000000000024400000000000002440,0101000020730800005D74D145175D1C40D145175D74D12140,1175
5,01060000207308000001000000010300000001000000210000000000000000001840000000000000284000000000000018400000000000002640000000000000144000000000000026400000000000001440000000000000244000000000000014400000000000002240000000000000104000000000000022400000000000000840000000000000224000000000000000400000000000002240000000000000F03F0000000000002240000000000000F03F000000000000244000000000000000000000000000002440000000000000000000000000000026400000000000000000000000000000284000000000000000000000000000002A4000000000000000000000000000002C4000000000000000000000000000002E4000000000000000000000000000003040000000000000F03F0000000000003040000000000000F03F00000000000031400000000000000040000000000000314000000000000008400000000000003140000000000000104000000000000031400000000000001440000000000000314000000000000018400000000000003140000000000000184000000000000030400000000000001C4000000000000030400000000000001C400000000000002E400000000000001C400000000000002C4000000000000020400000000000002C4000000000000020400000000000002A40000000000000204000000000000028400000000000001C40000000000000284000000000000018400000000000002840,010100002073080000AE47E17A14AE07406666666666662940,2528
6,010600002073080000010000000103000000010000001B0000000000000000002040000000000000284000000000000020400000000000002A4000000000000020400000000000002C400000000000001C400000000000002C400000000000001C400000000000002E400000000000001C4000000000000030400000000000002040000000000000304000000000000020400000000000003140000000000000224000000000000031400000000000002440000000000000314000000000000026400000000000003140000000000000284000000000000031400000000000002A4000000000000031400000000000002A4000000000000030400000000000002A400000000000002E400000000000002C400000000000002E400000000000002C400000000000002C400000000000002C400000000000002A400000000000002A400000000000002A400000000000002A40000000000000284000000000000028400000000000002840000000000000284000000000000026400000000000002640000000000000264000000000000024400000000000002640000000000000224000000000000026400000000000002240000000000000284000000000000020400000000000002840,01010000207308000000000000000024400000000000702B40,1576
7,010600002073080000010000000103000000010000001B0000000000000000002A4000000000000028400000000000002A400000000000002A400000000000002C400000000000002A400000000000002C400000000000002C400000000000002E400000000000002C4000000000000030400000000000002C4000000000000031400000000000002C4000000000000032400000000000002C4000000000000032400000000000002A4000000000000033400000000000002A4000000000000033400000000000002840000000000000334000000000000026400000000000003340000000000000244000000000000032400000000000002440000000000000324000000000000022400000000000003140000000000000224000000000000031400000000000002040000000000000304000000000000020400000000000002E4000000000000020400000000000002E4000000000000022400000000000002C4000000000000022400000000000002C4000000000000024400000000000002A4000000000000024400000000000002840000000000000244000000000000028400000000000002640000000000000284000000000000028400000000000002A400000000000002840,0101000020730800008988888888882E408988888888882540,1533
8,010600002073080000010000000103000000010000002100000000000000000032400000000000002A4000000000000032400000000000002C4000000000000031400000000000002C4000000000000030400000000000002C4000000000000030400000000000002E400000000000003040000000000000304000000000000030400000000000003140000000000000304000000000000032400000000000003040000000000000334000000000000031400000000000003340000000000000314000000000000034400000000000003240000000000000344000000000000032400000000000003540000000000000334000000000000035400000000000003440000000000000354000000000000035400000000000003540000000000000364000000000000035400000000000003640000000000000344000000000000037400000000000003440000000000000374000000000000033400000000000003840000000000000334000000000000038400000000000003240000000000000384000000000000031400000000000003840000000000000304000000000000038400000000000002E4000000000000037400000000000002E4000000000000037400000000000002C4000000000000036400000000000002C4000000000000036400000000000002A4000000000000035400000000000002A4000000000000034400000000000002A4000000000000033400000000000002A4000000000000032400000000000002A40,010100002073080000F639A426186F3340D504E3ADEC733040,2691
9,0106000020730800000100000001030000000100000019000000000000000000374000000000000033400000000000003740000000000000344000000000000036400000000000003440000000000000364000000000000035400000000000003540000000000000354000000000000035400000000000003640000000000000354000000000000037400000000000003640000000000000374000000000000036400000000000003840000000000000364000000000000039400000000000003740000000000000394000000000000038400000000000003940000000000000394000000000000039400000000000003A4000000000000039400000000000003A4000000000000038400000000000003B4000000000000038400000000000003B4000000000000037400000000000003B4000000000000036400000000000003B4000000000000035400000000000003B4000000000000034400000000000003A4000000000000034400000000000003A400000000000003340000000000000394000000000000033400000000000003840000000000000334000000000000037400000000000003340,01010000207308000012967B1A61B937401A61B9A711963540,1398
10,0106000020730800000100000001030000000100000017000000000000000000364000000000000039400000000000003640000000000000384000000000000036400000000000003740000000000000354000000000000037400000000000003540000000000000364000000000000034400000000000003640000000000000334000000000000036400000000000003240000000000000364000000000000031400000000000003640000000000000314000000000000037400000000000003140000000000000384000000000000030400000000000003840000000000000304000000000000039400000000000003140000000000000394000000000000031400000000000003A4000000000000031400000000000003B4000000000000032400000000000003B4000000000000033400000000000003B4000000000000034400000000000003B4000000000000035400000000000003B4000000000000035400000000000003A4000000000000036400000000000003A4000000000000036400000000000003940,0101000020730800005555555555B532400000000000003840,1188
