id ,Geom,Centroid,demand
1,0106000020730800000100000001030000000100000025000000000000000000000000000000000000000000000000000000000000000000F03F000000000000000000000000000000400000000000000000000000000000084000000000000000000000000000001040000000000000000000000000000014400000000000000000000000000000184000000000000000000000000000001C4000000000000000000000000000002040000000000000F03F0000000000002040000000000000F03F000000000000224000000000000000400000000000002240000000000000084000000000000022400000000000001040000000000000224000000000000014400000000000002240000000000000184000000000000022400000000000001C4000000000000022400000000000001C4000000000000020400000000000002040000000000000204000000000000020400000000000001C4000000000000022400000000000001C400000000000002240000000000000184000000000000022400000000000001440000000000000224000000000000010400000000000002240000000000000084000000000000022400000000000000040000000000000204000000000000000400000000000002040000000000000F03F0000000000001C40000000000000F03F0000000000001C4000000000000000000000000000001840000000000000000000000000000014400000000000000000000000000000104000000000000000000000000000000840000000000000000000000000000000400000000000000000000000000000F03F000000000000000000000000000000000000000000000000,010100002073080000DD608A7CD60D0E4015F9AC1B4C910F40,1839
2,0106000020730800000100000001030000000100000027000000000000000000000000000000000020400000000000000000000000000000224000000000000000000000000000002440000000000000000000000000000026400000000000000000000000000000284000000000000000000000000000002A4000000000000000000000000000002C4000000000000000000000000000002E4000000000000000000000000000003040000000000000F03F0000000000003040000000000000F03F0000000000003140000000000000004000000000000031400000000000000040000000000000324000000000000008400000000000003240000000000000104000000000000032400000000000001440000000000000324000000000000018400000000000003240000000000000184000000000000031400000000000001C40000000000000314000000000000020400000000000003140000000000000204000000000000030400000000000002240000000000000304000000000000022400000000000002E4000000000000022400000000000002C4000000000000022400000000000002A40000000000000224000000000000028400000000000002240000000000000264000000000000020400000000000002640000000000000204000000000000024400000000000001C4000000000000024400000000000001C4000000000000022400000000000001840000000000000224000000000000014400000000000002240000000000000104000000000000022400000000000000840000000000000224000000000000000400000000000002240000000000000F03F0000000000002240000000000000F03F000000000000204000000000000000000000000000002040,010100002073080000C7711CC7711C0E401CC7711CC7712940,1807
3,010600002073080000010000000103000000010000001D00000000000000000020400000000000003040000000000000204000000000000031400000000000001C4000000000000031400000000000001840000000000000314000000000000018400000000000003240000000000000184000000000000033400000000000001840000000000000344000000000000018400000000000003540000000000000184000000000000036400000000000001C4000000000000036400000000000001C4000000000000037400000000000002040000000000000374000000000000022400000000000003740000000000000244000000000000037400000000000002640000000000000374000000000000028400000000000003740000000000000284000000000000036400000000000002A4000000000000036400000000000002A4000000000000035400000000000002A4000000000000034400000000000002A4000000000000033400000000000002A4000000000000032400000000000002A400000000000003140000000000000284000000000000031400000000000002640000000000000314000000000000026400000000000003040000000000000244000000000000030400000000000002240000000000000304000000000000020400000000000003040,0101000020730800000000000000002240893BE28EB8233340,1108
4,010600002073080000010000000103000000010000001D000000000000000000284000000000000031400000000000002A4000000000000031400000000000002C4000000000000031400000000000002C4000000000000030400000000000002E4000000000000030400000000000002E400000000000002E4000000000000030400000000000002E4000000000000030400000000000002C4000000000000030400000000000002A4000000000000030400000000000002840000000000000304000000000000026400000000000002E4000000000000026400000000000002E4000000000000024400000000000002C4000000000000024400000000000002A40000000000000244000000000000028400000000000002440000000000000264000000000000024400000000000002440000000000000244000000000000024400000000000002640000000000000224000000000000026400000000000002240000000000000284000000000000022400000000000002A4000000000000022400000000000002C4000000000000022400000000000002E400000000000002240000000000000304000000000000024400000000000003040000000000000264000000000000030400000000000002640000000000000314000000000000028400000000000003140,010100002073080000B76DDBB66DDB2740E8799EE7799E2940,1049
5,01060000207308000001000000010300000001000000290000000000000000002E4000000000000024400000000000002E40000000000000264000000000000030400000000000002640000000000000314000000000000026400000000000003240000000000000264000000000000033400000000000002640000000000000334000000000000024400000000000003440000000000000244000000000000034400000000000002240000000000000354000000000000022400000000000003540000000000000204000000000000035400000000000001C400000000000003540000000000000184000000000000036400000000000001840000000000000364000000000000014400000000000003540000000000000144000000000000035400000000000001040000000000000354000000000000008400000000000003440000000000000084000000000000034400000000000000040000000000000334000000000000000400000000000003340000000000000F03F0000000000003240000000000000F03F0000000000003140000000000000F03F0000000000003040000000000000F03F0000000000002E40000000000000F03F0000000000002C40000000000000F03F0000000000002C4000000000000000400000000000002A4000000000000000400000000000002A4000000000000008400000000000002840000000000000084000000000000028400000000000001040000000000000284000000000000014400000000000002840000000000000184000000000000028400000000000001C4000000000000028400000000000002040000000000000284000000000000022400000000000002A4000000000000022400000000000002A4000000000000024400000000000002C4000000000000024400000000000002E400000000000002440,01010000207308000070F9966FF9163040E65BBEE55BBE1540,2018
6,0106000020730800000100000001030000000100000025000000000000000000354000000000000010400000000000003540000000000000144000000000000036400000000000001440000000000000364000000000000018400000000000003540000000000000184000000000000035400000000000001C4000000000000036400000000000001C4000000000000037400000000000001C400000000000003740000000000000204000000000000038400000000000002040000000000000394000000000000020400000000000003A4000000000000020400000000000003A400000000000001C400000000000003B400000000000001C400000000000003B4000000000000018400000000000003C4000000000000018400000000000003C4000000000000014400000000000003D4000000000000014400000000000003D4000000000000010400000000000003D4000000000000008400000000000003C4000000000000008400000000000003C4000000000000000400000000000003C40000000000000F03F0000000000003B40000000000000F03F0000000000003B4000000000000000000000000000003A40000000000000000000000000000039400000000000000000000000000000384000000000000000000000000000003740000000000000000000000000000036400000000000000000000000000000354000000000000000000000000000003540000000000000F03F0000000000003440000000000000F03F00000000000034400000000000000040000000000000344000000000000008400000000000003540000000000000084000000000000035400000000000001040,010100002073080000659F436A82F137408CB7B2CF21350940,1393
7,010600002073080000010000000103000000010000001D0000000000000000003C4000000000000014400000000000003C4000000000000018400000000000003B4000000000000018400000000000003B400000000000001C400000000000003A400000000000001C400000000000003A4000000000000020400000000000003A4000000000000022400000000000003A4000000000000024400000000000003A4000000000000026400000000000003B4000000000000026400000000000003B4000000000000028400000000000003C4000000000000028400000000000003D4000000000000028400000000000003E4000000000000028400000000000003F40000000000000284000000000000040400000000000002840000000000000404000000000000026400000000000804040000000000000264000000000008040400000000000002440000000000080404000000000000022400000000000804040000000000000204000000000008040400000000000001C4000000000008040400000000000001840000000000000404000000000000018400000000000003F4000000000000018400000000000003F4000000000000014400000000000003E4000000000000014400000000000003D4000000000000014400000000000003C400000000000001440,0101000020730800002549922449123D401886611886612040,981
8,010600002073080000010000000103000000010000002D000000000000000000404000000000000018400000000000804040000000000000184000000000008040400000000000001C4000000000008040400000000000002040000000000080404000000000000022400000000000004140000000000000224000000000000041400000000000002440000000000080414000000000000024400000000000004240000000000000244000000000000042400000000000002240000000000080424000000000000022400000000000004340000000000000224000000000008043400000000000002240000000000080434000000000000020400000000000004440000000000000204000000000000044400000000000001C40000000000000444000000000000018400000000000004440000000000000144000000000008044400000000000001440000000000080444000000000000010400000000000804440000000000000084000000000000044400000000000000840000000000000444000000000000000400000000000004440000000000000F03F0000000000804340000000000000F03F00000000008043400000000000000000000000000000434000000000000000000000000000804240000000000000000000000000000042400000000000000000000000000080414000000000000000000000000000004140000000000000000000000000008040400000000000000000000000000000404000000000000000000000000000003F4000000000000000000000000000003E4000000000000000000000000000003E40000000000000F03F0000000000003D40000000000000F03F0000000000003D4000000000000000400000000000003D4000000000000008400000000000003D4000000000000010400000000000003D4000000000000014400000000000003E4000000000000014400000000000003F4000000000000014400000000000003F40000000000000184000000000000040400000000000001840,010100002073080000067D415FD05741406BCA9AB2A6AC0D40,2096
9,01060000207308000001000000010300000001000000210000000000000000804340000000000000204000000000008043400000000000002240000000000000434000000000000022400000000000804240000000000000224000000000008042400000000000002440000000000080424000000000000026400000000000804240000000000000284000000000008042400000000000002A4000000000008042400000000000002C4000000000000043400000000000002C4000000000000043400000000000002E4000000000008043400000000000002E40000000000080434000000000000030400000000000004440000000000000304000000000008044400000000000003040000000000000454000000000000030400000000000804540000000000000304000000000008045400000000000002E4000000000000046400000000000002E4000000000000046400000000000002C4000000000008046400000000000002C4000000000008046400000000000002A400000000000804640000000000000284000000000008046400000000000002640000000000080464000000000000024400000000000004640000000000000244000000000000046400000000000002240000000000080454000000000000022400000000000804540000000000000204000000000000045400000000000002040000000000080444000000000000020400000000000004440000000000000204000000000008043400000000000002040,010100002073080000FB1C52138C374440A909C65BD9E72640,1302
10,010600002073080000010000000103000000010000001900000000000000000046400000000000002C4000000000000046400000000000002E4000000000008045400000000000002E400000000000804540000000000000304000000000000045400000000000003040000000000000454000000000000031400000000000004540000000000000324000000000008045400000000000003240000000000080454000000000000033400000000000804540000000000000344000000000000046400000000000003440000000000080464000000000000034400000000000004740000000000000344000000000008047400000000000003440000000000080474000000000000033400000000000004840000000000000334000000000000048400000000000003240000000000000484000000000000031400000000000004840000000000000304000000000000048400000000000002E4000000000008047400000000000002E4000000000008047400000000000002C4000000000000047400000000000002C4000000000008046400000000000002C4000000000000046400000000000002C40,01010000207308000009CB3D8DB05C46401A61B9A711963040,719
