id ,Geom,Centroid,Demand
1,0106000020730800000100000001030000000100000015000000000000000000000000000000000000000000000000000000000000000000F03F00000000000000000000000000000040000000000000000000000000000008400000000000000000000000000000104000000000000000000000000000001440000000000000F03F0000000000001440000000000000004000000000000014400000000000000840000000000000144000000000000010400000000000001440000000000000144000000000000014400000000000001440000000000000104000000000000014400000000000000840000000000000144000000000000000400000000000001440000000000000F03F00000000000014400000000000000000000000000000104000000000000000000000000000000840000000000000000000000000000000400000000000000000000000000000F03F000000000000000000000000000000000000000000000000,1.01E+48,1194
2,01060000207308000001000000010300000001000000150000000000000000001440000000000000184000000000000014400000000000001440000000000000104000000000000014400000000000000840000000000000144000000000000000400000000000001440000000000000F03F0000000000001440000000000000000000000000000014400000000000000000000000000000184000000000000000000000000000001C40000000000000000000000000000020400000000000000000000000000000224000000000000000000000000000002440000000000000F03F000000000000244000000000000000400000000000002440000000000000084000000000000024400000000000001040000000000000244000000000000014400000000000002440000000000000144000000000000022400000000000001440000000000000204000000000000014400000000000001C4000000000000014400000000000001840,01010000207308000000000000000000400000000000001C40,1240
3,01060000207308000001000000010300000001000000190000000000000000001440000000000000264000000000000014400000000000002440000000000000104000000000000024400000000000000840000000000000244000000000000000400000000000002440000000000000F03F000000000000244000000000000000000000000000002440000000000000000000000000000026400000000000000000000000000000284000000000000000000000000000002A4000000000000000000000000000002C4000000000000000000000000000002E40000000000000F03F0000000000002E4000000000000000400000000000002E40000000000000004000000000000030400000000000000840000000000000304000000000000008400000000000002E4000000000000010400000000000002E4000000000000014400000000000002E4000000000000014400000000000002C4000000000000014400000000000002A4000000000000018400000000000002A40000000000000184000000000000028400000000000001440000000000000284000000000000014400000000000002640,010100002073080000398EE3388EE300408EE3388EE3382840,1267
4,01060000207308000001000000010300000001000000150000000000000000001440000000000000264000000000000014400000000000002840000000000000184000000000000028400000000000001C400000000000002840000000000000204000000000000028400000000000002240000000000000284000000000000022400000000000002640000000000000244000000000000026400000000000002440000000000000244000000000000024400000000000002240000000000000244000000000000020400000000000002240000000000000204000000000000022400000000000001C4000000000000020400000000000001C400000000000001C400000000000001C4000000000000018400000000000001C400000000000001840000000000000204000000000000014400000000000002040000000000000144000000000000022400000000000001440000000000000244000000000000014400000000000002640,010100002073080000A38B2EBAE8A21B402FBAE8A28B2E2240,1126
5,010600002073080000010000000103000000010000001900000000000000000022400000000000001C400000000000002240000000000000204000000000000024400000000000002040000000000000264000000000000020400000000000002840000000000000204000000000000028400000000000001C400000000000002A400000000000001C400000000000002A4000000000000018400000000000002A4000000000000014400000000000002A4000000000000010400000000000002A4000000000000008400000000000002A4000000000000000400000000000002840000000000000004000000000000026400000000000000040000000000000244000000000000000400000000000002240000000000000004000000000000020400000000000000040000000000000204000000000000008400000000000001C4000000000000008400000000000001C4000000000000010400000000000001C4000000000000014400000000000001C4000000000000018400000000000001C400000000000001C4000000000000020400000000000001C4000000000000022400000000000001C40,1.01E+48,1630
6,010600002073080000020000000103000000010000002F000000000000000000284000000000000000400000000000002A4000000000000000400000000000002A4000000000000008400000000000002A4000000000000010400000000000002A4000000000000014400000000000002A4000000000000018400000000000002A400000000000001C400000000000002C400000000000001C400000000000002C4000000000000018400000000000002E4000000000000018400000000000002E4000000000000014400000000000002E4000000000000010400000000000002E4000000000000008400000000000002E4000000000000000400000000000002E40000000000000F03F0000000000002E4000000000000000000000000000002C4000000000000000000000000000002A40000000000000000000000000000028400000000000000000000000000000264000000000000000000000000000002440000000000000000000000000000022400000000000000000000000000000204000000000000000000000000000001C40000000000000000000000000000018400000000000000000000000000000144000000000000000000000000000001440000000000000F03F000000000000144000000000000000400000000000001440000000000000084000000000000014400000000000001040000000000000144000000000000014400000000000001440000000000000184000000000000014400000000000001C40000000000000144000000000000020400000000000001840000000000000204000000000000018400000000000001C400000000000001C400000000000001C400000000000001C4000000000000018400000000000001C4000000000000014400000000000001C4000000000000010400000000000001C4000000000000008400000000000002040000000000000084000000000000020400000000000000040000000000000224000000000000000400000000000002440000000000000004000000000000026400000000000000040000000000000284000000000000000400103000000010000000500000000000000000028400000000000001C40000000000000284000000000000020400000000000002A4000000000000020400000000000002A400000000000001C4000000000000028400000000000001C40,0101000020730800002549922449922240C3300CC3300C0340,2144
7,01060000207308000001000000010300000001000000190000000000000000002C4000000000000018400000000000002C400000000000001C400000000000002A400000000000001C400000000000002A40000000000000204000000000000028400000000000002040000000000000284000000000000022400000000000002A4000000000000022400000000000002A4000000000000024400000000000002A4000000000000026400000000000002C4000000000000026400000000000002C4000000000000028400000000000002E4000000000000028400000000000003040000000000000284000000000000031400000000000002840000000000000314000000000000026400000000000003240000000000000264000000000000032400000000000002440000000000000324000000000000022400000000000003240000000000000204000000000000032400000000000001C4000000000000031400000000000001C4000000000000031400000000000001840000000000000304000000000000018400000000000002E4000000000000018400000000000002C400000000000001840,010100002073080000721CC7711CC72D40682FA1BD84F62040,1348
8,010600002073080000010000000103000000010000001700000000000000000028400000000000002240000000000000284000000000000020400000000000002640000000000000204000000000000024400000000000002040000000000000244000000000000022400000000000002440000000000000244000000000000024400000000000002640000000000000224000000000000026400000000000002240000000000000284000000000000022400000000000002A4000000000000024400000000000002A4000000000000026400000000000002A4000000000000026400000000000002C4000000000000028400000000000002C4000000000000028400000000000002A400000000000002A400000000000002A400000000000002A4000000000000028400000000000002C4000000000000028400000000000002C4000000000000026400000000000002A4000000000000026400000000000002A4000000000000024400000000000002A40000000000000224000000000000028400000000000002240,010100002073080000ABAAAAAAAAAA25400000000000002540,952
9,010600002073080000010000000103000000010000001700000000000000000026400000000000002C4000000000000026400000000000002A4000000000000024400000000000002A4000000000000022400000000000002A4000000000000022400000000000002840000000000000204000000000000028400000000000001C4000000000000028400000000000001C400000000000002A4000000000000018400000000000002A4000000000000018400000000000002C4000000000000018400000000000002E4000000000000018400000000000003040000000000000184000000000000031400000000000001C4000000000000031400000000000002040000000000000314000000000000020400000000000003240000000000000224000000000000032400000000000002240000000000000314000000000000024400000000000003140000000000000264000000000000031400000000000002640000000000000304000000000000026400000000000002E4000000000000026400000000000002C40,010100002073080000BDE94D6F7AD31F402D64210B59C82C40,1145
10,010600002073080000010000000103000000010000001500000000000000000020400000000000003240000000000000204000000000000031400000000000001C400000000000003140000000000000184000000000000031400000000000001840000000000000304000000000000014400000000000003040000000000000104000000000000030400000000000001040000000000000314000000000000008400000000000003140000000000000084000000000000032400000000000000840000000000000334000000000000008400000000000003440000000000000084000000000000035400000000000001040000000000000354000000000000014400000000000003540000000000000184000000000000035400000000000001C40000000000000354000000000000020400000000000003540000000000000204000000000000034400000000000002040000000000000334000000000000020400000000000003240,010100002073080000D145175D74D1134046175D74D1453240,1163
